notice_no,notice_id,route_id,route_name,notice_group,notice_name,recommended_rank,public_summary,primary_objective,field_situation,unknown_factor,complication,record_targets,failure_condition,follow_up,public_notice_text
45,notice_045_pioneer_안개권_생태_변이_조사,pioneer,개척자,앙그라권 탐사,안개권 생태·변이 조사,상급 이상,안개권 생태·변이 조사 공고는 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다.,"문명권 바깥의 좌표, 귀환로, 위험 지점, 거점 가능성을 확보한다.","현장은 '안개권 생태·변이 조사' 성격의 사건으로 분류되며, 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다.","안개권 변화가 자연 이동인지, 앙그라의 못 또는 수호 반응과 연결되었는지 확인해야 한다.",귀환로와 방향 감각이 불안정해 탐사 지속 여부를 계속 판단해야 한다.,"안개 농도, 경계 좌표, 귀환로 기록, 거점 후보 평가",귀환로를 잃거나 확보한 좌표가 사용할 수 없게 된다.,못 또는 가디언 반응이 확인되면 고위 개척자 공고로 확장한다.,"[안개권 생태·변이 조사] 안개권 생태·변이 조사 공고는 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다. 주요 목표는 문명권 바깥의 좌표, 귀환로, 위험 지점, 거점 가능성을 확보한다. 확인해야 할 미지는 안개권 변화가 자연 이동인지, 앙그라의 못 또는 수호 반응과 연결되었는지 확인해야 한다. 실패 시 귀환로를 잃거나 확보한 좌표가 사용할 수 없게 된다."
46,notice_046_classified_재앙_표식_조사,classified,기밀,재앙 대응,재앙 표식 조사,중급~상급,"폐허와 민가, 지하 구조물에서 발견된 원인 불명의 재앙 표식을 조사한다.",공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다.,"현장은 '재앙 표식 조사' 성격의 사건으로 분류되며, 원인 미상의 표식, 공포 확산, 재앙성 의식과 연결망을 제한 공개 방식으로 다루는 공고다.","재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다.",공개 명분과 실제 위험 사이의 간극 때문에 성급한 색출이나 소문 확산이 발생할 수 있다.,"반복 증언, 재앙 표식, 오염 기록, 연결 단서",재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다.,반복 패턴이 확인되면 내부 기밀 조사로 전환한다.,"[재앙 표식 조사] 폐허와 민가, 지하 구조물에서 발견된 원인 불명의 재앙 표식을 조사한다. 주요 목표는 공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다. 확인해야 할 미지는 재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다. 실패 시 재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다."
47,notice_047_classified_재앙_매개자_식별,classified,기밀,재앙 대응,재앙 매개자 식별,중급~상급,재앙성 사건을 확산시키는 인물이나 위장된 매개자를 식별한다.,공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다.,"현장은 '재앙 매개자 식별' 성격의 사건으로 분류되며, 원인 미상의 표식, 공포 확산, 재앙성 의식과 연결망을 제한 공개 방식으로 다루는 공고다.","재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다.",공개 명분과 실제 위험 사이의 간극 때문에 성급한 색출이나 소문 확산이 발생할 수 있다.,"반복 증언, 재앙 표식, 오염 기록, 연결 단서",재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다.,반복 패턴이 확인되면 내부 기밀 조사로 전환한다.,"[재앙 매개자 식별] 재앙성 사건을 확산시키는 인물이나 위장된 매개자를 식별한다. 주요 목표는 공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다. 확인해야 할 미지는 재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다. 실패 시 재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다."
48,notice_048_classified_재앙성_공포_확산_차단,classified,기밀,재앙 대응,재앙성 공포 확산 차단,중급~상급,"소문과 불신, 공포가 공동체를 붕괴시키기 전에 확산 경로를 차단한다.",공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다.,"현장은 '재앙성 공포 확산 차단' 성격의 사건으로 분류되며, 원인 미상의 표식, 공포 확산, 재앙성 의식과 연결망을 제한 공개 방식으로 다루는 공고다.","재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다.",공개 명분과 실제 위험 사이의 간극 때문에 성급한 색출이나 소문 확산이 발생할 수 있다.,"반복 증언, 재앙 표식, 오염 기록, 연결 단서",재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다.,반복 패턴이 확인되면 내부 기밀 조사로 전환한다.,"[재앙성 공포 확산 차단] 소문과 불신, 공포가 공동체를 붕괴시키기 전에 확산 경로를 차단한다. 주요 목표는 공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다. 확인해야 할 미지는 재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다. 실패 시 재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다."
49,notice_049_classified_재앙_의식_저지,classified,기밀,재앙 대응,재앙 의식 저지,중급~상급,"흑마석, 정제 실패품, 잔향 흔적이 동원된 재앙성 의식을 저지한다.",공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다.,"현장은 '재앙 의식 저지' 성격의 사건으로 분류되며, 원인 미상의 표식, 공포 확산, 재앙성 의식과 연결망을 제한 공개 방식으로 다루는 공고다.","재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다.",공개 명분과 실제 위험 사이의 간극 때문에 성급한 색출이나 소문 확산이 발생할 수 있다.,"반복 증언, 재앙 표식, 오염 기록, 연결 단서",재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다.,반복 패턴이 확인되면 내부 기밀 조사로 전환한다.,"[재앙 의식 저지] 흑마석, 정제 실패품, 잔향 흔적이 동원된 재앙성 의식을 저지한다. 주요 목표는 공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다. 확인해야 할 미지는 재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다. 실패 시 재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다."
50,notice_050_classified_재앙_연결망_추적,classified,기밀,재앙 대응,재앙 연결망 추적,중급~상급,여러 지역의 재앙성 사건이 같은 물자와 기록 흐름을 따르는지 추적한다.,공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다.,"현장은 '재앙 연결망 추적' 성격의 사건으로 분류되며, 원인 미상의 표식, 공포 확산, 재앙성 의식과 연결망을 제한 공개 방식으로 다루는 공고다.","재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다.",공개 명분과 실제 위험 사이의 간극 때문에 성급한 색출이나 소문 확산이 발생할 수 있다.,"반복 증언, 재앙 표식, 오염 기록, 연결 단서",재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다.,반복 패턴이 확인되면 내부 기밀 조사로 전환한다.,"[재앙 연결망 추적] 여러 지역의 재앙성 사건이 같은 물자와 기록 흐름을 따르는지 추적한다. 주요 목표는 공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다. 확인해야 할 미지는 재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다. 실패 시 재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다."
51,notice_051_solver_개척지_안전_진단,solver,해결사,문명권 안전 관리,개척지 안전 진단,하급~중급,"개척지 안전 진단 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다.","현장은 '개척지 안전 진단' 성격의 사건으로 분류되며, 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다.",이미 안전하다고 믿는 주민과 관리자가 재점검을 불쾌하게 여긴다.,"수원·피난처·초소·교역로 점검표, 잔향 반응, 주민 증언",안전 판정 오류로 정착지나 교역로 피해가 확대된다.,잔향 또는 공간 왜곡이 확인되면 잔향·침식 조사나 시설·방어·봉인으로 확장한다.,"[개척지 안전 진단] 개척지 안전 진단 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다. 주요 목표는 문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다. 확인해야 할 미지는 관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다. 실패 시 안전 판정 오류로 정착지나 교역로 피해가 확대된다."
52,notice_052_solver_이주로_검증,solver,해결사,문명권 안전 관리,이주로 검증,하급~중급,"이주로 검증 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다.","현장은 '이주로 검증' 성격의 사건으로 분류되며, 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다.",이미 안전하다고 믿는 주민과 관리자가 재점검을 불쾌하게 여긴다.,"수원·피난처·초소·교역로 점검표, 잔향 반응, 주민 증언",안전 판정 오류로 정착지나 교역로 피해가 확대된다.,잔향 또는 공간 왜곡이 확인되면 잔향·침식 조사나 시설·방어·봉인으로 확장한다.,"[이주로 검증] 이주로 검증 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다. 주요 목표는 문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다. 확인해야 할 미지는 관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다. 실패 시 안전 판정 오류로 정착지나 교역로 피해가 확대된다."
53,notice_053_solver_교역로_재개통,solver,해결사,문명권 안전 관리,교역로 재개통,하급~중급,"교역로 재개통 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다.","현장은 '교역로 재개통' 성격의 사건으로 분류되며, 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다.",이미 안전하다고 믿는 주민과 관리자가 재점검을 불쾌하게 여긴다.,"수원·피난처·초소·교역로 점검표, 잔향 반응, 주민 증언",안전 판정 오류로 정착지나 교역로 피해가 확대된다.,잔향 또는 공간 왜곡이 확인되면 잔향·침식 조사나 시설·방어·봉인으로 확장한다.,"[교역로 재개통] 교역로 재개통 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다. 주요 목표는 문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다. 확인해야 할 미지는 관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다. 실패 시 안전 판정 오류로 정착지나 교역로 피해가 확대된다."
54,notice_054_solver_초소_재가동,solver,해결사,문명권 안전 관리,초소 재가동,하급~중급,"초소 재가동 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다.","현장은 '초소 재가동' 성격의 사건으로 분류되며, 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다.",이미 안전하다고 믿는 주민과 관리자가 재점검을 불쾌하게 여긴다.,"수원·피난처·초소·교역로 점검표, 잔향 반응, 주민 증언",안전 판정 오류로 정착지나 교역로 피해가 확대된다.,잔향 또는 공간 왜곡이 확인되면 잔향·침식 조사나 시설·방어·봉인으로 확장한다.,"[초소 재가동] 초소 재가동 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다. 주요 목표는 문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다. 확인해야 할 미지는 관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다. 실패 시 안전 판정 오류로 정착지나 교역로 피해가 확대된다."
55,notice_055_solver_피난처_검증,solver,해결사,문명권 안전 관리,피난처 검증,하급~중급,"피난처 검증 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다.","현장은 '피난처 검증' 성격의 사건으로 분류되며, 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다.",이미 안전하다고 믿는 주민과 관리자가 재점검을 불쾌하게 여긴다.,"수원·피난처·초소·교역로 점검표, 잔향 반응, 주민 증언",안전 판정 오류로 정착지나 교역로 피해가 확대된다.,잔향 또는 공간 왜곡이 확인되면 잔향·침식 조사나 시설·방어·봉인으로 확장한다.,"[피난처 검증] 피난처 검증 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다. 주요 목표는 문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다. 확인해야 할 미지는 관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다. 실패 시 안전 판정 오류로 정착지나 교역로 피해가 확대된다."
"56","notice_056_hunter_위험_개체_토벌","hunter","사냥꾼","몬스터 사냥","위험 개체 토벌","하급~중급","위험 개체 토벌 공고는 문명권 내부와 인접 지역에서 생활권을 위협하는 일반 몬스터를 추적하고 제압하는 사냥꾼 공고다.","문명권 주변의 위험 개체를 추적하고 필요 시 제압한다.","현장은 마을 외곽, 교역로, 농경지, 수로, 폐허 등 문명권 생활권과 가까운 지역이다.","대상이 단순 필드 몬스터인지, 잔향·흑마석·룬 반응을 보이는 변이 개체인지 확인해야 한다.","현지인은 즉각적인 토벌을 원하지만, 과잉 제압 시 흔적과 생태 정보가 손상될 수 있다.","이동 경로, 발자국, 혈액 또는 부산물 시료, 피해 기록","개체가 도주하거나 피해가 반복되어 생활권이 폐쇄된다.","잔향·룬·흑마석 반응이 확인되면 잔향 변이 사냥 공고로 재분류한다.","[위험 개체 토벌] 문명권 주변에서 위험 개체 피해가 접수되었다. 사냥꾼은 개체를 추적하고 필요 시 제압하라."
"57","notice_057_hunter_알파_개체_추적","hunter","사냥꾼","몬스터 사냥","알파 개체 추적","중급","알파 개체 추적 공고는 무리나 영역을 지배하는 우두머리 개체를 추적해 피해 확산을 막는 사냥꾼 공고다.","무리의 중심 개체를 추적하고 위치와 행동 패턴을 파악한다.","현장에서는 하위 개체의 집단 행동, 영역 표시, 반복 피해가 함께 보고된다.","알파 개체가 실제로 존재하는지, 환경 변화로 무리가 밀려난 것인지 확인해야 한다.","하위 개체가 추적자를 유인하거나 무리 전체가 동시에 반응할 수 있다.","무리 이동 경로, 영역 표시, 피해 위치, 중심 개체 흔적","알파 개체를 놓치면 무리 피해가 장기화된다.","알파 개체의 위험도가 높으면 위험 개체 토벌 또는 고위험 변이체 제압으로 전환한다.","[알파 개체 추적] 무리를 통솔하는 중심 개체가 의심된다. 사냥꾼은 흔적을 추적하고 피해 확산을 막아라."
"58","notice_058_hunter_변이_개체_포획","hunter","사냥꾼","몬스터 사냥","변이 개체 포획","중급","변이 개체 포획 공고는 일반 몬스터와 다른 신체 반응이나 행동 이상을 보이는 개체를 가능한 생포하는 사냥꾼 공고다.","변이 개체를 포획하고 표본 가치가 있는 반응을 보존한다.","현장에서는 표피 변질, 비정상 재생, 결정화, 감각 이상, 행동 패턴 붕괴 같은 징후가 보고된다.","변이가 자연 발생인지, 잔향·룬·흑마석 영향인지 확인해야 한다.","사살하면 필요한 표본과 반응 기록이 손상될 수 있다.","변이 부위, 행동 변화, 생포 상태, 체액·조직 시료","개체가 사망하거나 표본이 손상되어 원인 판정이 불가능해진다.","잔향성이 뚜렷하면 잔향 변이 사냥 공고로 재분류한다.","[변이 개체 포획] 변이 징후를 보이는 개체가 확인되었다. 사냥꾼은 가능하면 생포하고 반응을 기록하라."
"59","notice_059_hunter_몬스터_부산물_회수","hunter","사냥꾼","몬스터 사냥","몬스터 부산물 회수","하급~중급","몬스터 부산물 회수 공고는 토벌되었거나 추적 가능한 몬스터의 사체, 기관, 외피, 혈액, 독성 부위를 회수하는 사냥꾼 공고다.","필요 부산물을 손상 없이 회수하고 오염 여부를 판정한다.","현장에는 사체, 혈흔, 부산물, 독성 기관, 외피, 뿔·발톱 같은 회수 대상이 남아 있다.","부산물이 정상 재료인지, 오염되었거나 변이 반응을 지니는지 확인해야 한다.","부패와 포식자 접근 때문에 회수 가능 시간이 제한된다.","부산물 종류, 손상 상태, 오염 반응, 회수 위치","부산물이 훼손되거나 부패해 연구·제작 가치가 사라진다.","오염 반응이 확인되면 정제·자원 또는 잔향 변이 사냥 공고와 연계한다.","[몬스터 부산물 회수] 지정 부산물 회수가 필요하다. 사냥꾼은 표본을 보존해 회수하라."
"60","notice_060_hunter_서식지_둥지_정리","hunter","사냥꾼","몬스터 사냥","서식지·둥지 정리","하급~중급","서식지·둥지 정리 공고는 생활권에 접근한 몬스터의 둥지와 서식지를 정리해 반복 피해를 막는 사냥꾼 공고다.","둥지와 서식지를 확인하고 우회·분산·제압 방안을 실행한다.","현장에서는 알, 새끼, 영역 표시, 반복 포식 경로, 주거지 인접 둥지가 확인될 수 있다.","개체가 본래 서식지를 떠난 원인이 환경 변화인지 더 큰 위협 때문인지 확인해야 한다.","둥지 처리 방식에 따라 주민 반발이나 생태 교란이 발생할 수 있다.","둥지 위치, 개체 수, 알·새끼 여부, 이탈 원인","둥지를 방치하면 생활권 피해가 반복된다.","서식지 이탈 원인이 잔향·던전·흑마석 반응이면 상위 공고로 재분류한다.","[서식지·둥지 정리] 생활권 가까이에 위험 서식지가 확인되었다. 사냥꾼은 둥지를 정리하고 재발 가능성을 기록하라."
"61","notice_061_hunter_잔향_변이체_토벌","hunter","사냥꾼","잔향 변이 사냥","잔향 변이체 토벌","중급~상급","잔향 변이체 토벌 공고는 잔향 1~2단계 영향으로 변질된 개체를 토벌하거나 제압하는 사냥꾼 공고다.","잔향 변이체를 제압하고 오염 확산 여부를 기록한다.","현장에서는 통각 둔화, 빛 회피, 침식 분비물, 사후 활동, 민간인 유인 행동이 보고될 수 있다.","대상이 가디언화 이전 단계인지, 이미 던전화 전조에 도달했는지 확인해야 한다.","잔향 접촉으로 사냥꾼과 민간인 모두 후유증을 겪을 수 있다.","잔향 반응, 변이 부위, 사후 오염, 피해자 노출 기록","대상을 놓치거나 사후 오염을 차단하지 못해 피해가 확산된다.","잔향 3단계 또는 공간 고착이 확인되면 던전 공고로 재분류한다.","[잔향 변이체 토벌] 잔향 변이체가 확인되었다. 사냥꾼은 제압 후 오염 반응을 기록하라."
"62","notice_062_hunter_룬_각인_개체_조사","hunter","사냥꾼","잔향 변이 사냥","룬 각인 개체 조사","중급~상급","룬 각인 개체 조사 공고는 몸이나 장비에 잔향의 룬과 유사한 문양이 나타난 개체를 조사하는 사냥꾼 공고다.","룬 각인을 기록하고 개체를 제압·포획·관찰한다.","현장에서는 체표 룬, 전투 중 발광, 이동하는 각인, 동일 표식 무리가 보고될 수 있다.","룬이 자연 발생인지 인위적으로 새겨진 것인지 확인해야 한다.","각인 반응이 전투 중 개체를 강화하거나 주변 오염을 증폭시킬 수 있다.","룬 형태, 위치, 발광 조건, 사후 잔류 반응","룬 기록 없이 개체가 사라지거나 사체가 훼손된다.","룬 배열이나 반복 발현이 확인되면 잔향의 룬 공고로 확장한다.","[룬 각인 개체 조사] 룬 각인 개체가 보고되었다. 사냥꾼은 각인을 기록하고 위험도를 판정하라."
"63","notice_063_hunter_흑마석_섭취_개체_포획","hunter","사냥꾼","잔향 변이 사냥","흑마석 섭취 개체 포획","중급~상급","흑마석 섭취 개체 포획 공고는 흑마석을 삼키거나 체내 반응을 보이는 개체를 포획하는 사냥꾼 공고다.","흑마석 반응 개체를 가능한 생포하고 체내 반응을 보존한다.","현장에서는 결정 성장, 공명음, 체액 결정화, 원석 반응 추적이 보고될 수 있다.","흑마석이 체내에서 성장하는지, 단순 섭취물인지 확인해야 한다.","개체를 사살하면 체내 결정이 파손되거나 반응이 사라질 수 있다.","체내 반응, 결정 위치, 공명 강도, 생포 상태","개체가 사망하거나 결정이 파손되어 연구 가치가 사라진다.","정제 실패품이나 광맥 연계가 확인되면 정제·자원 공고와 연계한다.","[흑마석 섭취 개체 포획] 흑마석 반응 개체가 확인되었다. 사냥꾼은 가능하면 생포하고 반응을 보존하라."
"64","notice_064_hunter_고위험_변이체_제압","hunter","사냥꾼","잔향 변이 사냥","고위험 변이체 제압","상급","고위험 변이체 제압 공고는 포획이 어렵고 피해가 큰 변이 개체를 빠르게 제압하는 사냥꾼 공고다.","고위험 변이체를 추적하고 피해 확산 전에 제압한다.","현장에서는 급속 변질, 재생 이상, 다수 피해, 공격성 급증이 보고된다.","개체가 아직 필드형 변이체인지, 던전화 전조에 진입했는지 확인해야 한다.","전투가 길어질수록 개체가 더 변질되거나 주변 오염이 커질 수 있다.","피해 범위, 변이 속도, 재생 반응, 제압 결과","개체를 놓치거나 제압이 지연되어 피해가 확대된다.","공간 반응이 확인되면 던전 발생 대응으로 재분류한다.","[고위험 변이체 제압] 고위험 변이체가 확인되었다. 사냥꾼은 피해가 커지기 전에 제압하라."
"65","notice_065_hunter_가디언화_전조_차단","hunter","사냥꾼","잔향 변이 사냥","가디언화 전조 차단","상급","가디언화 전조 차단 공고는 잔향 3단계에 접근한 개체가 던전화로 넘어가기 전에 제압하는 사냥꾼 공고다.","가디언화가 완료되기 전 대상의 행동과 공간 반응을 차단한다.","현장에서는 영역 고착, 공간 반응, 잔향 농도 급상승, 중심 개체화 징후가 나타난다.","대상이 아직 차단 가능한 전조 단계인지, 이미 던전 가디언으로 굳어졌는지 확인해야 한다.","판단이 늦으면 사냥 공고가 던전 공고로 전환된다.","잔향 농도, 공간 반응, 중심 개체 행동, 경계 변화","가디언화가 완료되어 주변이 던전화된다.","던전화가 확인되면 던전 발생 대응 또는 던전 가디언 제압전으로 전환한다.","[가디언화 전조 차단] 가디언화 전조가 확인되었다. 사냥꾼은 던전화가 완료되기 전에 차단하라."
66,notice_066_solver_전장_잔향_조사,solver,해결사,전쟁·전장 조사,전장 잔향 조사,중급~상급,"전장 잔향 조사 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.",전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다.,"현장은 '전장 잔향 조사' 성격의 사건으로 분류되며, 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.","전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다.",교전 세력은 연맹 조사를 정찰·첩보 행위로 오해할 수 있다.,"전장 좌표, 잔향 기록, 유물·병기 증거, 실종 기록",조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다.,"민간 피해가 우선될 경우 전시 민생·구호로 전환하고, 오염 병기가 확인되면 정제·자원으로 확장한다.","[전장 잔향 조사] 전장 잔향 조사 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다. 주요 목표는 전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다. 확인해야 할 미지는 전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다. 실패 시 조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다."
67,notice_067_solver_전쟁_유물_회수,solver,해결사,전쟁·전장 조사,전쟁 유물 회수,중급~상급,"전쟁 유물 회수 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.",전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다.,"현장은 '전쟁 유물 회수' 성격의 사건으로 분류되며, 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.","전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다.",교전 세력은 연맹 조사를 정찰·첩보 행위로 오해할 수 있다.,"전장 좌표, 잔향 기록, 유물·병기 증거, 실종 기록",조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다.,"민간 피해가 우선될 경우 전시 민생·구호로 전환하고, 오염 병기가 확인되면 정제·자원으로 확장한다.","[전쟁 유물 회수] 전쟁 유물 회수 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다. 주요 목표는 전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다. 확인해야 할 미지는 전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다. 실패 시 조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다."
68,notice_068_solver_군사_던전_발생_대응,solver,해결사,전쟁·전장 조사,군사 던전 발생 대응,중급~상급,"군사 던전 발생 대응 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.",전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다.,"현장은 '군사 던전 발생 대응' 성격의 사건으로 분류되며, 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.","전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다.",교전 세력은 연맹 조사를 정찰·첩보 행위로 오해할 수 있다.,"전장 좌표, 잔향 기록, 유물·병기 증거, 실종 기록",조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다.,"민간 피해가 우선될 경우 전시 민생·구호로 전환하고, 오염 병기가 확인되면 정제·자원으로 확장한다.","[군사 던전 발생 대응] 군사 던전 발생 대응 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다. 주요 목표는 전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다. 확인해야 할 미지는 전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다. 실패 시 조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다."
